denominazione_regione,indicatore_stress,Incidenza (100'000 abitanti),vaccinati,popolazione,Vaccinati (%)
Abruzzo,4.51,4369.71,1073619,1285256,83.53
Basilicata,3.57,3454.3,457306,547579,83.50999999999999
Calabria,3.38,2921.56,1519408,1877728,80.92
Campania,3.76,3323.45,4628081,5679759,81.47999999999999
Emilia-Romagna,2.66,2771.94,3781524,4445549,85.06
Friuli Venezia Giulia,2.49,2232.32,980779,1198753,81.82000000000001
Lazio,2.66,2984.64,4948042,5720796,86.49
Liguria,2.55,2598.75,1278009,1509805,84.65
Lombardia,1.94,2123.81,8580220,9966992,86.09
Marche,3.71,3283.92,1223469,1501406,81.49
Molise,3.22,3481.74,254442,296547,85.8
P.A. Trento,2.13,2006.81,452165,544745,83
Piemonte,2.22,2115.39,3553378,4273210,83.15
Puglia,2.87,3325.22,3421370,3926931,87.13
Sardegna,2.83,2959.35,1360239,1598225,85.11
Sicilia,3.12,2597.01,3868120,4840876,79.91
Toscana,2.31,2714.31,3203699,3668333,87.33
Umbria,3.38,3527.23,736249,865013,85.11
Italia,2.82,2804.21,49869083,59257566,84.16
