"data","regione Abruzzo","regione Basilicata","regione Calabria","regione Campania","regione Emilia-Romagna","regione Friuli Venezia Giulia","regione Lazio","regione Liguria","regione Lombardia","regione Marche","regione Molise","regione P.A. Bolzano","regione P.A. Trento","regione Piemonte","regione Puglia","regione Sardegna","regione Sicilia","regione Toscana","regione Umbria","regione Valle d'Aosta","regione Veneto"
2021-08-23,0.47,0.54,0.85,0.49,0.74,0.42,0.49,0.6,0.25,0.57,0.18,0.61,0.44,0.3,0.37,1.27,1.85,1.02,0.7,0.55,0.66
2021-08-24,0.47,0.57,0.86,0.52,0.73,0.43,0.47,0.62,0.26,0.57,0.15,0.69,0.44,0.31,0.36,1.24,1.89,1.04,0.67,0.41,0.66
2021-08-25,0.45,0.59,0.88,0.52,0.72,0.49,0.44,0.65,0.25,0.6,0.19,0.65,0.41,0.3,0.35,1.26,1.97,1.03,0.63,0.32,0.69
2021-08-26,0.41,0.55,0.91,0.52,0.71,0.46,0.44,0.6,0.26,0.62,0.17,0.67,0.43,0.31,0.36,1.25,1.89,0.99,0.68,0.29,0.7
2021-08-27,0.4,0.58,0.91,0.52,0.72,0.52,0.42,0.57,0.27,0.65,0.22,0.7,0.4,0.32,0.35,1.21,1.93,0.99,0.64,0.26,0.73
2021-08-28,0.38,0.59,0.94,0.52,0.72,0.53,0.4,0.57,0.26,0.68,0.24,0.67,0.43,0.32,0.34,1.14,1.79,0.97,0.65,0.24,0.75
2021-08-29,0.39,0.61,0.96,0.51,0.73,0.52,0.38,0.57,0.27,0.69,0.27,0.66,0.42,0.32,0.33,1.15,1.8,0.96,0.64,0.21,0.76
2021-08-30,0.39,0.6,0.92,0.5,0.72,0.53,0.38,0.57,0.26,0.69,0.26,0.65,0.41,0.31,0.32,1.08,1.87,0.93,0.66,0.21,0.75
2021-08-31,0.36,0.64,0.89,0.49,0.71,0.53,0.36,0.52,0.27,0.68,0.26,0.61,0.38,0.31,0.32,1.09,1.78,0.89,0.63,0.23,0.77
2021-09-01,0.36,0.63,0.89,0.48,0.7,0.47,0.34,0.48,0.28,0.63,0.27,0.62,0.35,0.31,0.32,1.04,1.71,NA,0.63,0.17,0.73
