data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Italia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2021-11-30,0.57,0.23,0.58,0.74,0.97,1.89,0.78,0.78,0.93,0.67,1.05,0.31,3.88,1.05,0.66,0.21,0.28,0.63,0.43,0.34,1.87,1.57
2021-12-01,0.56,0.23,0.59,0.76,0.98,1.87,0.8,0.81,0.97,0.68,1.09,0.26,4.29,1.09,0.69,0.22,0.26,0.63,0.46,0.34,1.84,1.65
2021-12-02,0.65,0.24,0.64,0.77,1,1.84,0.83,0.85,1.02,0.7,1.07,0.23,4.52,1.1,0.74,0.23,0.26,0.63,0.45,0.34,1.92,1.74
2021-12-03,0.64,0.25,0.64,0.82,1.02,1.92,0.86,0.85,1.06,0.73,1.03,0.2,4.51,1.14,0.78,0.23,0.29,0.64,0.48,0.38,1.93,1.86
2021-12-04,0.67,0.25,0.7,0.82,1.06,1.96,0.89,0.9,1.1,0.77,1.04,0.19,4.68,1.15,0.81,0.24,0.31,0.62,0.51,0.41,2.04,1.9
2021-12-05,0.69,0.26,0.7,0.84,1.1,1.98,0.9,0.92,1.12,0.78,1.07,0.16,4.64,1.24,0.86,0.25,0.32,0.63,0.52,0.43,1.83,1.92
2021-12-06,0.71,0.26,0.73,0.83,1.12,2.07,0.92,0.91,1.16,0.79,1.06,0.16,4.59,1.25,0.9,0.25,0.31,0.63,0.54,0.46,1.95,1.97
2021-12-07,0.71,0.28,0.74,0.86,1.15,2.09,0.94,0.93,1.2,0.81,1.06,0.16,4.51,1.29,0.94,0.26,0.32,0.68,0.54,0.51,1.79,2.04
2021-12-08,0.75,0.34,0.75,0.87,1.18,2.1,0.97,0.92,1.25,0.85,1.05,0.15,4.36,1.36,0.97,0.27,0.32,0.67,0.57,0.54,1.94,2.13
2021-12-09,0.6,0.31,0.75,0.82,1.2,2.04,0.93,0.88,1.13,0.8,0.96,0.14,3.84,1.29,0.97,0.26,0.33,0.68,0.57,0.53,1.64,2.03
2021-12-10,0.61,0.35,0.77,0.85,1.2,1.89,0.96,0.91,1.13,0.83,1.02,0.12,3.85,1.32,1.05,0.27,0.32,0.72,0.59,0.55,1.53,2.12
2021-12-11,0.65,0.38,0.78,0.86,1.22,1.86,1,0.9,1.2,0.88,1.06,0.12,3.76,1.38,1.11,0.29,0.32,0.77,0.62,0.59,1.61,2.28
2021-12-12,0.7,0.41,0.85,0.88,1.24,1.91,1.03,0.94,1.21,0.91,1.11,0.12,3.79,1.4,1.15,0.31,0.32,0.78,0.64,0.61,1.91,2.4
2021-12-13,0.7,0.43,0.84,0.9,1.29,1.92,1.06,0.98,1.29,0.92,1.13,0.12,3.79,1.41,1.2,0.31,0.36,0.82,0.66,0.64,1.71,2.44
2021-12-14,0.73,0.54,0.88,0.91,1.34,1.9,1.1,1.01,1.34,0.97,1.17,0.12,3.86,1.46,1.27,0.32,0.37,0.83,0.68,0.7,1.93,2.56
2021-12-15,0.73,0.53,0.9,0.96,1.4,1.92,1.15,1.04,1.37,1.03,1.25,0.15,3.71,1.49,1.35,0.33,0.41,0.93,0.71,0.74,1.95,2.57
2021-12-16,0.88,0.65,1.08,1.06,1.45,2.03,1.26,1.14,1.62,1.21,1.44,0.15,3.86,1.64,1.48,0.38,0.44,1,0.78,0.84,2.01,2.74
2021-12-17,0.93,0.63,1.15,1.08,1.53,2.17,1.33,1.16,1.76,1.31,1.46,0.2,3.64,1.68,1.57,0.41,0.48,1.05,0.82,0.94,2.29,2.9
2021-12-18,0.96,0.72,1.17,1.17,1.61,2.26,1.39,1.21,1.86,1.4,1.51,0.17,3.44,1.72,1.64,0.43,0.48,1.11,0.87,1.03,2.33,2.89
2021-12-19,0.97,0.75,1.17,1.22,1.67,2.15,1.44,1.25,1.95,1.5,1.53,0.19,3.18,1.71,1.69,0.44,0.51,1.14,0.93,1.15,2.13,2.91
2021-12-20,1.01,0.74,1.26,1.25,1.73,2.09,1.46,1.26,1.98,1.55,1.56,0.19,3.04,1.71,1.73,0.46,0.52,1.11,0.96,1.14,2.33,2.93
2021-12-21,1,0.73,1.27,1.35,1.76,2.12,1.55,1.29,2.05,1.76,1.61,0.2,2.9,1.7,1.9,0.49,0.53,1.16,1.04,1.29,2.36,2.99
2021-12-22,1.12,0.79,1.36,1.45,1.78,2.17,1.66,1.33,2.16,2.02,1.67,0.27,2.81,1.8,2.07,0.53,0.55,1.17,1.16,1.53,2.37,3.08
