month,year,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Italia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2022-01-03,2022,6.71,3.64,3.25,7.24,8,7.22,6.56,4.54,6.73,7.81,5.01,2.94,9.45,8.55,7.52,4.26,1.77,5.05,7.23,7.09,10.6,8.01
2022-01-10,2022,7.09,5.43,3.56,7.07,8.19,8.82,6.51,5.29,7.86,5.25,9.1,4,13.21,8.61,6.87,5.8,3.1,5.82,6.21,5.72,8.01,8.88
2022-01-17,2022,3.49,3.59,3.78,3.13,2.03,2.46,2.71,2.76,2.5,1.57,4.22,2.79,4.55,2.18,1.8,3.06,2.95,4.2,2.46,4.01,1.29,3.09
2022-01-24,2022,4.67,4.44,4.6,4.24,2.58,2.73,3.3,3.48,2.74,2.11,4.65,3.32,2.09,2.23,2.1,3.96,3.19,4.14,3.01,4.89,1.93,3.91
2022-01-31,2022,4.57,3.72,3.52,3.86,2.7,2.56,2.91,2.8,2.59,1.99,3.82,3.28,2.95,2.18,2.26,3,2.89,3.21,2.4,3.48,2.48,3.68
2021-02-15,2021,0.19,0.21,0.22,0.21,0.21,0.02,0.21,0.25,0.17,0.17,0.18,0.13,0.16,0.16,0.11,0.13,0.3,0.38,0.26,0.18,0.13,0.26
2021-02-22,2021,0.35,0.41,0.52,0.42,0.68,0.36,0.54,0.55,0.5,0.31,0.51,0.17,0.37,0.39,0.27,0.27,1.15,1.1,0.95,0.67,0.36,0.75
2021-03-01,2021,0.35,0.47,0.77,0.42,0.58,0.47,0.5,0.34,0.45,0.24,0.52,0.17,0.68,0.34,0.29,0.27,0.77,1.37,0.76,0.53,0.25,0.62
2021-03-08,2021,0.18,0.24,0.4,0.27,0.28,0.32,0.25,0.21,0.22,0.14,0.24,0.07,0.62,0.24,0.21,0.14,0.13,0.5,0.3,0.23,0.23,0.36
2021-03-15,2021,0.33,0.16,0.39,0.46,0.4,1.01,0.37,0.4,0.38,0.25,0.42,0.13,1.67,0.44,0.29,0.18,0.13,0.42,0.3,0.3,0.47,0.59
